Escherichia coli
Klebsiella pneumoniae
Proteus mirabilis
Pseudomonas aeruginosa
Enterococcus faecalis
Staphylococcus saprophyticus
Enterobacter cloacae
Citrobacter freundii
Serratia marcescens
Morganella morganii
Providencia stuartii
Klebsiella oxytoca
Acinetobacter baumannii
Enterococcus faecium
Staphylococcus aureus
Streptococcus agalactiae
Streptococcus pyogenes
Aerococcus urinae
Aerococcus sanguinicola
Proteus vulgaris
Providencia rettgeri
Klebsiella aerogenes
Citrobacter koseri
Serratia liquefaciens
Raoultella ornithinolytica
Ureaplasma urealyticum
Ureaplasma parvum
Mycoplasma hominis
Corynebacterium urealyticum
