virus_name,refseq_id,host_name,virus_lineage,evidence
Acinetobacter phage 4316,OM334891,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage 53,MW590698,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage 5W,MT349887,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage A1626.2,OR180312,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vieuvirus; unclassified Vieuvirus,RefSeq
Acinetobacter phage A2.1,OR180309,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage A2490.3,OR180313,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vieuvirus; unclassified Vieuvirus,RefSeq
Acinetobacter phage A3926.3,OR180314,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vieuvirus; unclassified Vieuvirus,RefSeq
Acinetobacter phage A785.1,OR192057,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,RefSeq
Acinetobacter phage A832.1,OR180310,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; unclassified Obolenskvirus,"Literature, RefSeq"
Acinetobacter phage AB-Navy1,OL770258,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Lazarusvirus; unclassified Lazarusvirus,"Literature, RefSeq"
Acinetobacter phage AB-Navy4,OL770259,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Lazarusvirus; Lazarusvirus kimel,"Literature, RefSeq"
Acinetobacter phage AB-Navy71,OL770260,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Hadassahvirus; unclassified Hadassahvirus,"Literature, RefSeq"
Acinetobacter phage AB-Navy97,OL770261,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pantevenvirales; Straboviridae; Twarogvirinae; Lazarusvirus; unclassified Lazarusvirus,"Literature, RefSeq"
Acinetobacter phage AB1,NC_042028,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Obolenskvirus; Obolenskvirus AB1,"Literature, RefSeq"
Acinetobacter phage Ab1-TPeters,PP763253,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage Ab105-1phi,KT588074,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage Ab105-2phi,KT588075,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vieuvirus; unclassified Vieuvirus,RefSeq
Acinetobacter phage Ab105-2phideltaCI404ad,MZ514874,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vieuvirus; unclassified Vieuvirus,RefSeq
Acinetobacter phage Ab105-3phi,KT588073,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage Ab11,PP763255,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; unclassified Friunavirus,RefSeq
Acinetobacter phage Ab11510-phi,MT361972,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vieuvirus; unclassified Vieuvirus,RefSeq
Acinetobacter phage Ab124,MT633129,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographivirales; Autoscriptoviridae; Beijerinckvirinae; Friunavirus; Friunavirus fv15519,"Literature, RefSeq"
Acinetobacter phage Ab15,PP763259,Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,RefSeq
Acinetobacter phage AB1I1L,"PP798956, PP798957, PP798958",Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage AB1I1M-1,OQ627712,Acinetobacter baumannii,Viruses; unclassified bacterial viruses,"Literature, RefSeq"
Acinetobacter phage AB1I1P,"PP798982, PP798983, PP798984, PP798985",Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage AB1I1T,"PP799013, PP799014, PP799015, PP799016, PP799017",Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage AB2I2,"PP799019, PP799020, PP799021",Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
Acinetobacter phage AB2I3,"PP799038, PP799039, PP799040",Acinetobacter baumannii,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes,"Literature, RefSeq"
